State,Abbrev,Code,n_votes,Attitude
Alabama,Ala.,AL,9,Solid Republican
Alaska,Alaska,AK,3,Toss-up
Arizona,Ariz.,AZ,11,Toss-up
Arkansas,Ark.,AR,6,Solid Republican
California,Calif.,CA,55,Solid Democrat
Colorado,Colo.,CO,9,Leaning to Democrat
Connecticut,Conn.,CT,7,Solid Democrat
Delaware,Del.,DE,3,Solid Democrat
District of Columbia,D.C.,DC,3,Solid Democrat
Florida,Fla.,FL,29,Leaning to Democrat
Georgia,Ga.,GA,16,Toss-up
Hawaii,Hawaii,HI,4,Solid Democrat
Idaho,Idaho,ID,4,Solid Republican
Illinois,Ill.,IL,20,Solid Democrat
Indiana,Ind.,IN,11,Leaning to Republican
Iowa,Iowa,IA,6,Leaning to Republican
Kansas,Kans.,KS,6,Leaning to Republican
Kentucky,Ky.,KY,8,Solid Republican
Louisiana,La.,LA,8,Solid Republican
Maine,Maine,ME,2,Solid Democrat
Maryland,Md.,MD,10,Solid Democrat
Massachusetts,Mass.,MA,11,Solid Democrat
Michigan,Mich.,MI,16,Leaning to Democrat
Minnesota,Minn.,MN,10,Toss-up
Mississippi,Miss.,MS,6,Solid Republican
Missouri,Mo.,MO,10,Leaning to Republican
Montana,Mont.,MT,3,Solid Republican
Nebraska,Nebr.,NE,2,Solid Republican
Nevada,Nev.,NV,6,Leaning to Democrat
New Hampshire,N.H.,NH,4,Leaning to Democrat
New Jersey,N.J.,NJ,14,Solid Democrat
New Mexico,N.M.,NM,5,Solid Democrat
New York,N.Y.,NY,29,Solid Democrat
North Carolina,N.C.,NC,15,Toss-up
North Dakota,N.D.,ND,3,Solid Republican
Ohio,Ohio,OH,18,Toss-up
Oklahoma,Okla.,OK,7,Solid Republican
Oregon,Ore.,OR,7,Solid Democrat
Pennsylvania,Pa.,PA,20,Leaning to Democrat
Rhode Island,R.I.,RI,4,Solid Democrat
South Carolina,S.C.,SC,9,Toss-up
South Dakota,S.D.,SD,3,Solid Republican
Tennessee,Tenn.,TN,11,Solid Republican
Texas,Tex.,TX,38,Toss-up
Utah,Utah,UT,6,Leaning to Republican
Vermont,Vt.,VT,3,Solid Democrat
Virginia,Va.,VA,13,Leaning to Democrat
Washington,Wash.,WA,12,Solid Democrat
West Virginia,W.Va.,WV,5,Solid Republican
Wisconsin,Wis.,WI,10,Leaning to Democrat
Wyoming,Wyo.,WY,3,Solid Republican
